Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
RB,A.J. Dillon (40835546),A.J. Dillon,40835546,RB/FLEX,4000,PHI@DAL 11/23/2025 04:25PM ET,PHI,1.47
RB,Ben VanSumeren (40835548),Ben VanSumeren,40835548,RB/FLEX,4000,PHI@DAL 11/23/2025 04:25PM ET,PHI,0
RB,Jaydon Blue (40835550),Jaydon Blue,40835550,RB/FLEX,4000,PHI@DAL 11/23/2025 04:25PM ET,DAL,2
RB,Phil Mafah (40835552),Phil Mafah,40835552,RB/FLEX,4000,PHI@DAL 11/23/2025 04:25PM ET,DAL,0
RB,Miles Sanders (40835554),Miles Sanders,40835554,RB/FLEX,4000,PHI@DAL 11/23/2025 04:25PM ET,DAL,6.92
RB,Malik Davis (40835556),Malik Davis,40835556,RB/FLEX,4000,PHI@DAL 11/23/2025 04:25PM ET,DAL,0.65
RB,Hunter Luepke (40835558),Hunter Luepke,40835558,RB/FLEX,4000,PHI@DAL 11/23/2025 04:25PM ET,DAL,1.99
QB,Spencer Rattler (40835394),Spencer Rattler,40835394,QB,4000,ATL@NO 11/23/2025 04:25PM ET,NO,13.27
QB,Jake Haener (40835395),Jake Haener,40835395,QB,4000,ATL@NO 11/23/2025 04:25PM ET,NO,0
QB,Emory Jones (40835396),Emory Jones,40835396,QB,4000,ATL@NO 11/23/2025 04:25PM ET,ATL,0
QB,Easton Stick (40835397),Easton Stick,40835397,QB,4000,ATL@NO 11/23/2025 04:25PM ET,ATL,0
RB,Audric Estime (40835536),Audric Estime,40835536,RB/FLEX,4000,ATL@NO 11/23/2025 04:25PM ET,NO,0
RB,Kendre Miller (40835538),Kendre Miller,40835538,RB/FLEX,4000,ATL@NO 11/23/2025 04:25PM ET,NO,4.76
RB,Evan Hull (40835540),Evan Hull,40835540,RB/FLEX,4000,ATL@NO 11/23/2025 04:25PM ET,NO,0
RB,Nathan Carter (40835542),Nathan Carter,40835542,RB/FLEX,4000,ATL@NO 11/23/2025 04:25PM ET,ATL,1.25
RB,Carlos Washington Jr. (40835544),Carlos Washington Jr.,40835544,RB/FLEX,4000,ATL@NO 11/23/2025 04:25PM ET,ATL,0
TE,Juwan Johnson (40836118),Juwan Johnson,40836118,TE/FLEX,4000,ATL@NO 11/23/2025 04:25PM ET,NO,10.91
DST,Ravens  (40836357),Ravens ,40836357,DST,3900,NYJ@BAL 11/23/2025 01:00PM ET,BAL,4.4
TE,Hunter Henry (40836120),Hunter Henry,40836120,TE/FLEX,3900,NE@CIN 11/23/2025 01:00PM ET,NE,9.11
WR,Matthew Golden (40835782),Matthew Golden,40835782,WR/FLEX,3900,MIN@GB 11/23/2025 01:00PM ET,GB,6.34
WR,Elic Ayomanor (40835784),Elic Ayomanor,40835784,WR/FLEX,3900,SEA@TEN 11/23/2025 01:00PM ET,TEN,7.34
WR,Rashod Bateman (40835786),Rashod Bateman,40835786,WR/FLEX,3800,NYJ@BAL 11/23/2025 01:00PM ET,BAL,5.49
TE,Mark Andrews (40836122),Mark Andrews,40836122,TE/FLEX,3800,NYJ@BAL 11/23/2025 01:00PM ET,BAL,9.99
WR,DeMario Douglas (40835788),DeMario Douglas,40835788,WR/FLEX,3800,NE@CIN 11/23/2025 01:00PM ET,NE,7.04
DST,Patriots  (40836358),Patriots ,40836358,DST,3800,NE@CIN 11/23/2025 01:00PM ET,NE,7.64
WR,Calvin Austin III (40835792),Calvin Austin III,40835792,WR/FLEX,3700,PIT@CHI 11/23/2025 01:00PM ET,PIT,7.28
DST,Lions  (40836359),Lions ,40836359,DST,3700,NYG@DET 11/23/2025 01:00PM ET,DET,7
TE,Chig Okonkwo (40836124),Chig Okonkwo,40836124,TE/FLEX,3700,SEA@TEN 11/23/2025 01:00PM ET,TEN,6.57
WR,Cedric Tillman (40835790),Cedric Tillman,40835790,WR/FLEX,3700,CLE@LV 11/23/2025 04:05PM ET,CLE,7.48
WR,Luther Burden III (40835796),Luther Burden III,40835796,WR/FLEX,3600,PIT@CHI 11/23/2025 01:00PM ET,CHI,5.94
DST,Packers  (40836360),Packers ,40836360,DST,3600,MIN@GB 11/23/2025 01:00PM ET,GB,5.2
WR,Van Jefferson (40835794),Van Jefferson,40835794,WR/FLEX,3600,SEA@TEN 11/23/2025 01:00PM ET,TEN,4.19
TE,Harold Fannin Jr. (40836126),Harold Fannin Jr.,40836126,TE/FLEX,3600,CLE@LV 11/23/2025 04:05PM ET,CLE,9.88
TE,Colston Loveland (40836128),Colston Loveland,40836128,TE/FLEX,3500,PIT@CHI 11/23/2025 01:00PM ET,CHI,7.99
WR,Dontayvion Wicks (40835798),Dontayvion Wicks,40835798,WR/FLEX,3500,MIN@GB 11/23/2025 01:00PM ET,GB,4.51
WR,Tyler Lockett (40835800),Tyler Lockett,40835800,WR/FLEX,3500,CLE@LV 11/23/2025 04:05PM ET,LV,3.87
DST,Raiders  (40836361),Raiders ,40836361,DST,3500,CLE@LV 11/23/2025 04:05PM ET,LV,4.3
TE,Mason Taylor (40836130),Mason Taylor,40836130,TE/FLEX,3400,NYJ@BAL 11/23/2025 01:00PM ET,NYJ,6.96
WR,Jalen Nailor (40835802),Jalen Nailor,40835802,WR/FLEX,3400,MIN@GB 11/23/2025 01:00PM ET,MIN,7.03
TE,Brenton Strange (40836132),Brenton Strange,40836132,TE/FLEX,3400,JAX@ARI 11/23/2025 04:05PM ET,JAX,8.08
WR,Jahan Dotson (40835804),Jahan Dotson,40835804,WR/FLEX,3400,PHI@DAL 11/23/2025 04:25PM ET,PHI,3.54
WR,Brandin Cooks (40835806),Brandin Cooks,40835806,WR/FLEX,3400,ATL@NO 11/23/2025 04:25PM ET,NO,3.55
DST,Falcons  (40836362),Falcons ,40836362,DST,3400,ATL@NO 11/23/2025 04:25PM ET,ATL,6.6
WR,DeAndre Hopkins (40835808),DeAndre Hopkins,40835808,WR/FLEX,3300,NYJ@BAL 11/23/2025 01:00PM ET,BAL,4.69
WR,John Metchie III (40835816),John Metchie III,40835816,WR/FLEX,3300,NYJ@BAL 11/23/2025 01:00PM ET,NYJ,2.21
DST,Bears  (40836363),Bears ,40836363,DST,3300,PIT@CHI 11/23/2025 01:00PM ET,CHI,6.8
