Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
WR,Puka Nacua (41367995),Puka Nacua,41367995,WR/FLEX,9000,ARI@LAR 01/04/2026 04:25PM ET,LAR,24.53
RB,Bijan Robinson (41367683),Bijan Robinson,41367683,RB/FLEX,8700,NO@ATL 01/04/2026 01:00PM ET,ATL,24.22
WR,Ja'Marr Chase (41367997),Ja'Marr Chase,41367997,WR/FLEX,8500,CLE@CIN 01/04/2026 01:00PM ET,CIN,20.8
RB,De'Von Achane (41367685),De'Von Achane,41367685,RB/FLEX,8200,MIA@NE 01/04/2026 04:25PM ET,MIA,20.92
RB,Jahmyr Gibbs (41367687),Jahmyr Gibbs,41367687,RB/FLEX,8000,DET@CHI 01/04/2026 04:25PM ET,DET,22.48
RB,James Cook III (41367689),James Cook III,41367689,RB/FLEX,7900,NYJ@BUF 01/04/2026 04:25PM ET,BUF,20.67
RB,Jonathan Taylor (41367691),Jonathan Taylor,41367691,RB/FLEX,7800,IND@HOU 01/04/2026 01:00PM ET,IND,23.28
WR,Amon-Ra St. Brown (41367999),Amon-Ra St. Brown,41367999,WR/FLEX,7700,DET@CHI 01/04/2026 04:25PM ET,DET,19.44
RB,Chase Brown (41367693),Chase Brown,41367693,RB/FLEX,7600,CLE@CIN 01/04/2026 01:00PM ET,CIN,17.04
TE,Trey McBride (41368493),Trey McBride,41368493,TE/FLEX,7500,ARI@LAR 01/04/2026 04:25PM ET,ARI,19.46
WR,Chris Olave (41368001),Chris Olave,41368001,WR/FLEX,7400,NO@ATL 01/04/2026 01:00PM ET,NO,17.38
WR,CeeDee Lamb (41368003),CeeDee Lamb,41368003,WR/FLEX,7300,DAL@NYG 01/04/2026 01:00PM ET,DAL,16.73
WR,George Pickens (41368005),George Pickens,41368005,WR/FLEX,7200,DAL@NYG 01/04/2026 01:00PM ET,DAL,19.06
RB,Saquon Barkley (41367695),Saquon Barkley,41367695,RB/FLEX,7200,WAS@PHI 01/04/2026 04:25PM ET,PHI,15.14
RB,Travis Etienne Jr. (41367697),Travis Etienne Jr.,41367697,RB/FLEX,7100,TEN@JAX 01/04/2026 01:00PM ET,JAX,15.94
QB,Drake Maye (41367591),Drake Maye,41367591,QB,7100,MIA@NE 01/04/2026 04:25PM ET,NE,21.89
QB,Josh Allen (41367592),Josh Allen,41367592,QB,7000,NYJ@BUF 01/04/2026 04:25PM ET,BUF,24.16
WR,Nico Collins (41368007),Nico Collins,41368007,WR/FLEX,7000,IND@HOU 01/04/2026 01:00PM ET,HOU,15.75
WR,Drake London (41368009),Drake London,41368009,WR/FLEX,6900,NO@ATL 01/04/2026 01:00PM ET,ATL,18.19
QB,Matthew Stafford (41367593),Matthew Stafford,41367593,QB,6900,ARI@LAR 01/04/2026 04:25PM ET,LAR,21.67
RB,RJ Harvey (41367699),RJ Harvey,41367699,RB/FLEX,6800,LAC@DEN 01/04/2026 04:25PM ET,DEN,12.71
QB,Dak Prescott (41367594),Dak Prescott,41367594,QB,6800,DAL@NYG 01/04/2026 01:00PM ET,DAL,21.38
WR,A.J. Brown (41368011),A.J. Brown,41368011,WR/FLEX,6800,WAS@PHI 01/04/2026 04:25PM ET,PHI,15.69
WR,Jameson Williams (41368013),Jameson Williams,41368013,WR/FLEX,6700,DET@CHI 01/04/2026 04:25PM ET,DET,13.66
QB,Joe Burrow (41367595),Joe Burrow,41367595,QB,6700,CLE@CIN 01/04/2026 01:00PM ET,CIN,17.62
RB,Kyren Williams (41367701),Kyren Williams,41367701,RB/FLEX,6700,ARI@LAR 01/04/2026 04:25PM ET,LAR,16.08
RB,Omarion Hampton (41367703),Omarion Hampton,41367703,RB/FLEX,6600,LAC@DEN 01/04/2026 04:25PM ET,LAC,15.41
WR,Michael Wilson (41368015),Michael Wilson,41368015,WR/FLEX,6600,ARI@LAR 01/04/2026 04:25PM ET,ARI,13.04
WR,Davante Adams (41368017),Davante Adams,41368017,WR/FLEX,6500,ARI@LAR 01/04/2026 04:25PM ET,LAR,16.14
RB,Josh Jacobs (41367705),Josh Jacobs,41367705,RB/FLEX,6500,GB@MIN 01/04/2026 01:00PM ET,GB,15.94
QB,Jalen Hurts (41367596),Jalen Hurts,41367596,QB,6500,WAS@PHI 01/04/2026 04:25PM ET,PHI,19.50
QB,Trevor Lawrence (41367597),Trevor Lawrence,41367597,QB,6400,TEN@JAX 01/04/2026 01:00PM ET,JAX,20.80
RB,Ashton Jeanty (41367707),Ashton Jeanty,41367707,RB/FLEX,6400,KC@LV 01/04/2026 04:25PM ET,LV,14.98
WR,Stefon Diggs (41368019),Stefon Diggs,41368019,WR/FLEX,6300,MIA@NE 01/04/2026 04:25PM ET,NE,13.62
RB,Javonte Williams (41367709),Javonte Williams,41367709,RB/FLEX,6300,DAL@NYG 01/04/2026 01:00PM ET,DAL,15.68
RB,Breece Hall (41367711),Breece Hall,41367711,RB/FLEX,6200,NYJ@BUF 01/04/2026 04:25PM ET,NYJ,13.85
QB,Bo Nix (41367598),Bo Nix,41367598,QB,6200,LAC@DEN 01/04/2026 04:25PM ET,DEN,19.96
QB,Jared Goff (41367599),Jared Goff,41367599,QB,6100,DET@CHI 01/04/2026 04:25PM ET,DET,19.30
RB,TreVeyon Henderson (41367713),TreVeyon Henderson,41367713,RB/FLEX,6100,MIA@NE 01/04/2026 04:25PM ET,NE,12.24
WR,Wan'Dale Robinson (41368021),Wan'Dale Robinson,41368021,WR/FLEX,6100,DAL@NYG 01/04/2026 01:00PM ET,NYG,14.18
