Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
RB,De'Von Achane (41198392),De'Von Achane,41198392,RB/FLEX,8800,CIN@MIA 12/21/2025 01:00PM ET,MIA,21.61
RB,Bijan Robinson (41198394),Bijan Robinson,41198394,RB/FLEX,8700,ATL@ARI 12/21/2025 04:05PM ET,ATL,22.49
WR,Ja'Marr Chase (41198648),Ja'Marr Chase,41198648,WR/FLEX,8600,CIN@MIA 12/21/2025 01:00PM ET,CIN,20.32
RB,Jahmyr Gibbs (41198396),Jahmyr Gibbs,41198396,RB/FLEX,8500,PIT@DET 12/21/2025 04:25PM ET,DET,23.53
WR,Amon-Ra St. Brown (41198650),Amon-Ra St. Brown,41198650,WR/FLEX,8400,PIT@DET 12/21/2025 04:25PM ET,DET,20.49
WR,CeeDee Lamb (41198652),CeeDee Lamb,41198652,WR/FLEX,7800,LAC@DAL 12/21/2025 01:00PM ET,DAL,17.89
RB,James Cook III (41198398),James Cook III,41198398,RB/FLEX,7700,BUF@CLE 12/21/2025 01:00PM ET,BUF,20.9
TE,Trey McBride (41199080),Trey McBride,41199080,TE/FLEX,7600,ATL@ARI 12/21/2025 04:05PM ET,ARI,20.08
WR,Nico Collins (41198654),Nico Collins,41198654,WR/FLEX,7500,LV@HOU 12/21/2025 04:25PM ET,HOU,16.74
WR,Rashee Rice (41198656),Rashee Rice,41198656,WR/FLEX,7400,KC@TEN 12/21/2025 01:00PM ET,KC,19.14
WR,George Pickens (41198658),George Pickens,41198658,WR/FLEX,7300,LAC@DAL 12/21/2025 01:00PM ET,DAL,18.87
QB,Josh Allen (41198316),Josh Allen,41198316,QB,7200,BUF@CLE 12/21/2025 01:00PM ET,BUF,25.40
WR,Drake London (41198660),Drake London,41198660,WR/FLEX,7000,ATL@ARI 12/21/2025 04:05PM ET,ATL,21.44
RB,Travis Etienne Jr. (41198400),Travis Etienne Jr.,41198400,RB/FLEX,7000,JAX@DEN 12/21/2025 04:05PM ET,JAX,16.24
