Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
RB,Jonathan Taylor (41034018),Jonathan Taylor,41034018,RB/FLEX,9300,IND@JAX 12/07/2025 01:00PM ET,IND,26.05
WR,Jaxon Smith-Njigba (41034266),Jaxon Smith-Njigba,41034266,WR/FLEX,9000,SEA@ATL 12/07/2025 01:00PM ET,SEA,23.69
RB,De'Von Achane (41034020),De'Von Achane,41034020,RB/FLEX,8800,MIA@NYJ 12/07/2025 01:00PM ET,MIA,22.2
WR,Puka Nacua (41034268),Puka Nacua,41034268,WR/FLEX,8700,LAR@ARI 12/07/2025 04:25PM ET,LAR,21.2
RB,Bijan Robinson (41034022),Bijan Robinson,41034022,RB/FLEX,8500,SEA@ATL 12/07/2025 01:00PM ET,ATL,22.82
WR,Ja'Marr Chase (41034270),Ja'Marr Chase,41034270,WR/FLEX,8200,CIN@BUF 12/07/2025 01:00PM ET,CIN,20.7
TE,Trey McBride (41034692),Trey McBride,41034692,TE/FLEX,8000,LAR@ARI 12/07/2025 04:25PM ET,ARI,19.16
RB,James Cook III (41034024),James Cook III,41034024,RB/FLEX,7800,CIN@BUF 12/07/2025 01:00PM ET,BUF,20.53
WR,Davante Adams (41034272),Davante Adams,41034272,WR/FLEX,7700,LAR@ARI 12/07/2025 04:25PM ET,LAR,17.32
QB,Josh Allen (41033940),Josh Allen,41033940,QB,7700,CIN@BUF 12/07/2025 01:00PM ET,BUF,24.43
RB,Derrick Henry (41034026),Derrick Henry,41034026,RB/FLEX,7500,PIT@BAL 12/07/2025 01:00PM ET,BAL,15.94
WR,Drake London (41034274),Drake London,41034274,WR/FLEX,7300,SEA@ATL 12/07/2025 01:00PM ET,ATL,21.44
RB,Bucky Irving (41034028),Bucky Irving,41034028,RB/FLEX,7000,NO@TB 12/07/2025 01:00PM ET,TB,18.42
WR,Justin Jefferson (41034276),Justin Jefferson,41034276,WR/FLEX,6900,WAS@MIN 12/07/2025 01:00PM ET,MIN,13.36
QB,Matthew Stafford (41033941),Matthew Stafford,41033941,QB,6900,LAR@ARI 12/07/2025 04:25PM ET,LAR,20.74
RB,Josh Jacobs (41034030),Josh Jacobs,41034030,RB/FLEX,6800,CHI@GB 12/07/2025 04:25PM ET,GB,17.42
WR,Jaylen Waddle (41034278),Jaylen Waddle,41034278,WR/FLEX,6800,MIA@NYJ 12/07/2025 01:00PM ET,MIA,13.46
QB,Lamar Jackson (41033942),Lamar Jackson,41033942,QB,6700,PIT@BAL 12/07/2025 01:00PM ET,BAL,17.89
