Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
WR,Cody White (41371075),Cody White,41371075,WR/FLEX,3000,SEA@SF 01/03/2026 08:00PM ET,SEA,1.8
WR,Dareke Young (41371077),Dareke Young,41371077,WR/FLEX,3000,SEA@SF 01/03/2026 08:00PM ET,SEA,0.85
WR,Jake Bobo (41371079),Jake Bobo,41371079,WR/FLEX,3000,SEA@SF 01/03/2026 08:00PM ET,SEA,0.4
WR,Tory Horton (41371081),Tory Horton,41371081,WR/FLEX,3000,SEA@SF 01/03/2026 08:00PM ET,SEA,8.14
WR,Ricky White III (41371083),Ricky White III,41371083,WR/FLEX,3000,SEA@SF 01/03/2026 08:00PM ET,SEA,0
WR,Courtney Jackson (41371085),Courtney Jackson,41371085,WR/FLEX,3000,SEA@SF 01/03/2026 08:00PM ET,SEA,0
WR,Skyy Moore (41371087),Skyy Moore,41371087,WR/FLEX,3000,SEA@SF 01/03/2026 08:00PM ET,SF,0.92
WR,Jordan Watkins (41371089),Jordan Watkins,41371089,WR/FLEX,3000,SEA@SF 01/03/2026 08:00PM ET,SF,0.92
WR,Jacob Cowing (41371091),Jacob Cowing,41371091,WR/FLEX,3000,SEA@SF 01/03/2026 08:00PM ET,SF,0
WR,Brandon Aiyuk (41371093),Brandon Aiyuk,41371093,WR/FLEX,3000,SEA@SF 01/03/2026 08:00PM ET,SF,0
WR,Trent Taylor (41371095),Trent Taylor,41371095,WR/FLEX,3000,SEA@SF 01/03/2026 08:00PM ET,SF,0
WR,Malik Turner (41371097),Malik Turner,41371097,WR/FLEX,3000,SEA@SF 01/03/2026 08:00PM ET,SF,0
WR,Junior Bergen (41371099),Junior Bergen,41371099,WR/FLEX,3000,SEA@SF 01/03/2026 08:00PM ET,SF,0
WR,Javon Baker (41371101),Javon Baker,41371101,WR/FLEX,3000,SEA@SF 01/03/2026 08:00PM ET,SF,0
TE,Jake Tonges (41371109),Jake Tonges,41371109,TE/FLEX,3000,SEA@SF 01/03/2026 08:00PM ET,SF,5.83
WR,Brycen Tremayne (41371049),Brycen Tremayne,41371049,WR/FLEX,3000,CAR@TB 01/03/2026 04:30PM ET,CAR,1.69
WR,Jimmy Horn Jr. (41371051),Jimmy Horn Jr.,41371051,WR/FLEX,3000,CAR@TB 01/03/2026 04:30PM ET,CAR,2.02
WR,Hunter Renfrow (41371053),Hunter Renfrow,41371053,WR/FLEX,3000,CAR@TB 01/03/2026 04:30PM ET,CAR,5.98
WR,David Moore (41371055),David Moore,41371055,WR/FLEX,3000,CAR@TB 01/03/2026 04:30PM ET,CAR,0.68
WR,Ainias Smith (41371057),Ainias Smith,41371057,WR/FLEX,3000,CAR@TB 01/03/2026 04:30PM ET,CAR,0
WR,Dan Chisena (41371059),Dan Chisena,41371059,WR/FLEX,3000,CAR@TB 01/03/2026 04:30PM ET,CAR,0
WR,Ja'seem Reed (41371061),Ja'seem Reed,41371061,WR/FLEX,3000,CAR@TB 01/03/2026 04:30PM ET,CAR,0
WR,Tez Johnson (41371063),Tez Johnson,41371063,WR/FLEX,3000,CAR@TB 01/03/2026 04:30PM ET,TB,5.96
WR,Kameron Johnson (41371065),Kameron Johnson,41371065,WR/FLEX,3000,CAR@TB 01/03/2026 04:30PM ET,TB,1.09
WR,Sterling Shepard (41371067),Sterling Shepard,41371067,WR/FLEX,3000,CAR@TB 01/03/2026 04:30PM ET,TB,6.38
WR,Jaden Smith (41371069),Jaden Smith,41371069,WR/FLEX,3000,CAR@TB 01/03/2026 04:30PM ET,TB,0
WR,Garrett Greene (41371071),Garrett Greene,41371071,WR/FLEX,3000,CAR@TB 01/03/2026 04:30PM ET,TB,0
WR,Dennis Houston (41371073),Dennis Houston,41371073,WR/FLEX,3000,CAR@TB 01/03/2026 04:30PM ET,TB,0
