Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
RB,Christian McCaffrey (41117048),Christian McCaffrey,41117048,RB/FLEX,9000,TEN@SF 12/14/2025 04:25PM ET,SF,25.73
RB,Jahmyr Gibbs (41117050),Jahmyr Gibbs,41117050,RB/FLEX,8800,DET@LAR 12/14/2025 04:25PM ET,DET,24.58
WR,Puka Nacua (41117364),Puka Nacua,41117364,WR/FLEX,8700,DET@LAR 12/14/2025 04:25PM ET,LAR,22.66
WR,Jaxon Smith-Njigba (41117366),Jaxon Smith-Njigba,41117366,WR/FLEX,8600,IND@SEA 12/14/2025 04:25PM ET,SEA,24.03
RB,Jonathan Taylor (41117052),Jonathan Taylor,41117052,RB/FLEX,8500,IND@SEA 12/14/2025 04:25PM ET,IND,25
WR,Ja'Marr Chase (41117368),Ja'Marr Chase,41117368,WR/FLEX,8100,BAL@CIN 12/14/2025 01:00PM ET,CIN,19.82
RB,James Cook III (41117054),James Cook III,41117054,RB/FLEX,8000,BUF@NE 12/14/2025 01:00PM ET,BUF,19.88
WR,Amon-Ra St. Brown (41117370),Amon-Ra St. Brown,41117370,WR/FLEX,7900,DET@LAR 12/14/2025 04:25PM ET,DET,18.65
WR,Rashee Rice (41117372),Rashee Rice,41117372,WR/FLEX,7700,LAC@KC 12/14/2025 01:00PM ET,KC,20.14
QB,Josh Allen (41116961),Josh Allen,41116961,QB,7500,BUF@NE 12/14/2025 01:00PM ET,BUF,25.46
TE,Trey McBride (41117860),Trey McBride,41117860,TE/FLEX,7400,ARI@HOU 12/14/2025 01:00PM ET,ARI,18.52
RB,Derrick Henry (41117056),Derrick Henry,41117056,RB/FLEX,7300,BAL@CIN 12/14/2025 01:00PM ET,BAL,15.58
WR,Davante Adams (41117374),Davante Adams,41117374,WR/FLEX,7200,DET@LAR 12/14/2025 04:25PM ET,LAR,16.52
RB,Saquon Barkley (41117058),Saquon Barkley,41117058,RB/FLEX,7100,LV@PHI 12/14/2025 01:00PM ET,PHI,14.93
QB,Matthew Stafford (41116962),Matthew Stafford,41116962,QB,7000,DET@LAR 12/14/2025 04:25PM ET,LAR,20.94
RB,Josh Jacobs (41117060),Josh Jacobs,41117060,RB/FLEX,6900,GB@DEN 12/14/2025 04:25PM ET,GB,17.4
QB,Jalen Hurts (41116963),Jalen Hurts,41116963,QB,6800,LV@PHI 12/14/2025 01:00PM ET,PHI,20.07
WR,A.J. Brown (41117376),A.J. Brown,41117376,WR/FLEX,6800,LV@PHI 12/14/2025 01:00PM ET,PHI,16.08
RB,Kyren Williams (41117062),Kyren Williams,41117062,RB/FLEX,6800,DET@LAR 12/14/2025 04:25PM ET,LAR,15.99
RB,Chase Brown (41117064),Chase Brown,41117064,RB/FLEX,6700,BAL@CIN 12/14/2025 01:00PM ET,CIN,14.74
WR,Nico Collins (41117378),Nico Collins,41117378,WR/FLEX,6700,ARI@HOU 12/14/2025 01:00PM ET,HOU,16.18
QB,Drake Maye (41116964),Drake Maye,41116964,QB,6700,BUF@NE 12/14/2025 01:00PM ET,NE,20.58
QB,Joe Burrow (41116965),Joe Burrow,41116965,QB,6600,BAL@CIN 12/14/2025 01:00PM ET,CIN,15.12
WR,Michael Wilson (41117380),Michael Wilson,41117380,WR/FLEX,6600,ARI@HOU 12/14/2025 01:00PM ET,ARI,12.25
RB,Rico Dowdle (41117066),Rico Dowdle,41117066,RB/FLEX,6600,CAR@NO 12/14/2025 04:25PM ET,CAR,14.79
WR,Tee Higgins (41117382),Tee Higgins,41117382,WR/FLEX,6500,BAL@CIN 12/14/2025 01:00PM ET,CIN,14.31
RB,Travis Etienne Jr. (41117068),Travis Etienne Jr.,41117068,RB/FLEX,6500,NYJ@JAX 12/14/2025 01:00PM ET,JAX,15.06
QB,Patrick Mahomes (41116966),Patrick Mahomes,41116966,QB,6500,LAC@KC 12/14/2025 01:00PM ET,KC,22.20
QB,Lamar Jackson (41116967),Lamar Jackson,41116967,QB,6400,BAL@CIN 12/14/2025 01:00PM ET,BAL,18.31
WR,Ladd McConkey (41117384),Ladd McConkey,41117384,WR/FLEX,6400,LAC@KC 12/14/2025 01:00PM ET,LAC,12.65
RB,Quinshon Judkins (41117070),Quinshon Judkins,41117070,RB/FLEX,6300,CLE@CHI 12/14/2025 01:00PM ET,CLE,13.17
WR,Zay Flowers (41117386),Zay Flowers,41117386,WR/FLEX,6300,BAL@CIN 12/14/2025 01:00PM ET,BAL,13.19
QB,Justin Herbert (41116968),Justin Herbert,41116968,QB,6300,LAC@KC 12/14/2025 01:00PM ET,LAC,19.47
RB,Breece Hall (41117072),Breece Hall,41117072,RB/FLEX,6200,NYJ@JAX 12/14/2025 01:00PM ET,NYJ,14.14
WR,Chris Olave (41117388),Chris Olave,41117388,WR/FLEX,6200,CAR@NO 12/14/2025 04:25PM ET,NO,14.52
QB,Brock Purdy (41116969),Brock Purdy,41116969,QB,6200,TEN@SF 12/14/2025 04:25PM ET,SF,17.84
RB,TreVeyon Henderson (41117074),TreVeyon Henderson,41117074,RB/FLEX,6100,BUF@NE 12/14/2025 01:00PM ET,NE,11.72
QB,Jared Goff (41116970),Jared Goff,41116970,QB,6100,DET@LAR 12/14/2025 04:25PM ET,DET,18.75
WR,Jameson Williams (41117390),Jameson Williams,41117390,WR/FLEX,6100,DET@LAR 12/14/2025 04:25PM ET,DET,13.18
WR,Stefon Diggs (41117392),Stefon Diggs,41117392,WR/FLEX,6000,BUF@NE 12/14/2025 01:00PM ET,NE,12.42
QB,Jayden Daniels (41116971),Jayden Daniels,41116971,QB,6000,WAS@NYG 12/14/2025 01:00PM ET,WAS,17.04
RB,RJ Harvey (41117076),RJ Harvey,41117076,RB/FLEX,6000,GB@DEN 12/14/2025 04:25PM ET,DEN,11.62
WR,Tetairoa McMillan (41117394),Tetairoa McMillan,41117394,WR/FLEX,6000,CAR@NO 12/14/2025 04:25PM ET,CAR,13.97
RB,Omarion Hampton (41117078),Omarion Hampton,41117078,RB/FLEX,5900,LAC@KC 12/14/2025 01:00PM ET,LAC,15.78
WR,Wan'Dale Robinson (41117396),Wan'Dale Robinson,41117396,WR/FLEX,5900,WAS@NYG 12/14/2025 01:00PM ET,NYG,13.85
TE,Brock Bowers (41117862),Brock Bowers,41117862,TE/FLEX,5900,LV@PHI 12/14/2025 01:00PM ET,LV,15.91
QB,Bo Nix (41116972),Bo Nix,41116972,QB,5900,GB@DEN 12/14/2025 04:25PM ET,DEN,18.97
WR,Rome Odunze (41117398),Rome Odunze,41117398,WR/FLEX,5800,CLE@CHI 12/14/2025 01:00PM ET,CHI,12.68
RB,Ashton Jeanty (41117080),Ashton Jeanty,41117080,RB/FLEX,5800,LV@PHI 12/14/2025 01:00PM ET,LV,14.42
WR,DeVonta Smith (41117400),DeVonta Smith,41117400,WR/FLEX,5800,LV@PHI 12/14/2025 01:00PM ET,PHI,13.22
QB,Sam Darnold (41116973),Sam Darnold,41116973,QB,5800,IND@SEA 12/14/2025 04:25PM ET,SEA,16.28
RB,D'Andre Swift (41117082),D'Andre Swift,41117082,RB/FLEX,5700,CLE@CHI 12/14/2025 01:00PM ET,CHI,15.02
QB,Trevor Lawrence (41116974),Trevor Lawrence,41116974,QB,5700,NYJ@JAX 12/14/2025 01:00PM ET,JAX,17.72
WR,Brian Thomas Jr. (41117402),Brian Thomas Jr.,41117402,WR/FLEX,5700,NYJ@JAX 12/14/2025 01:00PM ET,JAX,10.21
RB,Kimani Vidal (41117084),Kimani Vidal,41117084,RB/FLEX,5700,LAC@KC 12/14/2025 01:00PM ET,LAC,11.8
RB,Woody Marks (41117086),Woody Marks,41117086,RB/FLEX,5600,ARI@HOU 12/14/2025 01:00PM ET,HOU,9.62
WR,Marvin Harrison Jr. (41117404),Marvin Harrison Jr.,41117404,WR/FLEX,5600,ARI@HOU 12/14/2025 01:00PM ET,ARI,12.54
WR,Jakobi Meyers (41117406),Jakobi Meyers,41117406,WR/FLEX,5600,NYJ@JAX 12/14/2025 01:00PM ET,JAX,11.48
