Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
RB,Velus Jones Jr. (41282058),Velus Jones Jr.,41282058,RB/FLEX,4000,SEA@CAR 12/28/2025 01:00PM ET,SEA,0.4
RB,Robbie Ouzts (41282060),Robbie Ouzts,41282060,RB/FLEX,4000,SEA@CAR 12/28/2025 01:00PM ET,SEA,0
RB,Brady Russell (41282062),Brady Russell,41282062,RB/FLEX,4000,SEA@CAR 12/28/2025 01:00PM ET,SEA,0
QB,Kedon Slovis (41281841),Kedon Slovis,41281841,QB,4000,ARI@CIN 12/28/2025 01:00PM ET,ARI,-0.04
QB,Kyler Murray (41281842),Kyler Murray,41281842,QB,4000,ARI@CIN 12/28/2025 01:00PM ET,ARI,16.36
QB,Jeff Driskel (41281843),Jeff Driskel,41281843,QB,4000,ARI@CIN 12/28/2025 01:00PM ET,ARI,0
QB,Joe Flacco (41281844),Joe Flacco,41281844,QB,4000,ARI@CIN 12/28/2025 01:00PM ET,CIN,14.94
QB,Jake Browning (41281845),Jake Browning,41281845,QB,4000,ARI@CIN 12/28/2025 01:00PM ET,CIN,11.35
QB,Sean Clifford (41281846),Sean Clifford,41281846,QB,4000,ARI@CIN 12/28/2025 01:00PM ET,CIN,0
RB,Corey Kiner (41281936),Corey Kiner,41281936,RB/FLEX,4000,ARI@CIN 12/28/2025 01:00PM ET,ARI,2.15
RB,Zonovan Knight (41281940),Zonovan Knight,41281940,RB/FLEX,4000,ARI@CIN 12/28/2025 01:00PM ET,ARI,7.82
RB,James Conner (41282032),James Conner,41282032,RB/FLEX,4000,ARI@CIN 12/28/2025 01:00PM ET,ARI,11.1
RB,Trey Benson (41282034),Trey Benson,41282034,RB/FLEX,4000,ARI@CIN 12/28/2025 01:00PM ET,ARI,8.85
RB,Jermar Jefferson (41282036),Jermar Jefferson,41282036,RB/FLEX,4000,ARI@CIN 12/28/2025 01:00PM ET,ARI,0
RB,Tahj Brooks (41282038),Tahj Brooks,41282038,RB/FLEX,4000,ARI@CIN 12/28/2025 01:00PM ET,CIN,0.25
RB,Kendall Milton (41282040),Kendall Milton,41282040,RB/FLEX,4000,ARI@CIN 12/28/2025 01:00PM ET,CIN,0.2
