Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
TE,Durham Smythe (41434837),Durham Smythe,41434837,TE/FLEX,2500,GB@CHI 01/10/2026 08:00PM ET,CHI,0.38
TE,Nikola Kalinic (41434839),Nikola Kalinic,41434839,TE/FLEX,2500,GB@CHI 01/10/2026 08:00PM ET,CHI,0
TE,Stephen Carlson (41434841),Stephen Carlson,41434841,TE/FLEX,2500,GB@CHI 01/10/2026 08:00PM ET,CHI,0
TE,Thomas Gordon (41434843),Thomas Gordon,41434843,TE/FLEX,2500,GB@CHI 01/10/2026 08:00PM ET,CHI,0
DST,Bears  (41434847),Bears ,41434847,DST,2500,GB@CHI 01/10/2026 08:00PM ET,CHI,6.76
TE,Ross Dwelley (41434813),Ross Dwelley,41434813,TE/FLEX,2500,LAR@CAR 01/10/2026 04:30PM ET,CAR,0.24
TE,Mitchell Evans (41434815),Mitchell Evans,41434815,TE/FLEX,2500,LAR@CAR 01/10/2026 04:30PM ET,CAR,2.84
TE,James Mitchell (41434817),James Mitchell,41434817,TE/FLEX,2500,LAR@CAR 01/10/2026 04:30PM ET,CAR,1.16
TE,Ja'Tavion Sanders (41434819),Ja'Tavion Sanders,41434819,TE/FLEX,2500,LAR@CAR 01/10/2026 04:30PM ET,CAR,4.15
TE,Bryce Pierre (41434821),Bryce Pierre,41434821,TE/FLEX,2500,LAR@CAR 01/10/2026 04:30PM ET,CAR,0
TE,Davis Allen (41434823),Davis Allen,41434823,TE/FLEX,2500,LAR@CAR 01/10/2026 04:30PM ET,LAR,3.69
TE,Nick Vannett (41434825),Nick Vannett,41434825,TE/FLEX,2500,LAR@CAR 01/10/2026 04:30PM ET,LAR,0
TE,Mark Redman (41434827),Mark Redman,41434827,TE/FLEX,2500,LAR@CAR 01/10/2026 04:30PM ET,LAR,0
DST,Panthers  (41434848),Panthers ,41434848,DST,2000,LAR@CAR 01/10/2026 04:30PM ET,CAR,6.06
