Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
RB,Jonathan Taylor (40925219),Jonathan Taylor,40925219,RB/FLEX,9800,HOU@IND 11/30/2025 01:00PM ET,IND,27.04
WR,Jaxon Smith-Njigba (40925445),Jaxon Smith-Njigba,40925445,WR/FLEX,9500,MIN@SEA 11/30/2025 04:05PM ET,SEA,25.46
RB,Christian McCaffrey (40925221),Christian McCaffrey,40925221,RB/FLEX,9300,SF@CLE 11/30/2025 01:00PM ET,SF,26.42
WR,Puka Nacua (40925447),Puka Nacua,40925447,WR/FLEX,9000,LAR@CAR 11/30/2025 01:00PM ET,LAR,22
RB,Bijan Robinson (40925223),Bijan Robinson,40925223,RB/FLEX,8500,ATL@NYJ 11/30/2025 01:00PM ET,ATL,21.87
RB,De'Von Achane (40925225),De'Von Achane,40925225,RB/FLEX,8300,NO@MIA 11/30/2025 01:00PM ET,MIA,22.18
TE,Trey McBride (40925843),Trey McBride,40925843,TE/FLEX,7800,ARI@TB 11/30/2025 01:00PM ET,ARI,18.88
RB,James Cook III (40925227),James Cook III,40925227,RB/FLEX,7600,BUF@PIT 11/30/2025 04:25PM ET,BUF,20.34
WR,Davante Adams (40925449),Davante Adams,40925449,WR/FLEX,7500,LAR@CAR 11/30/2025 01:00PM ET,LAR,16.92
QB,Josh Allen (40925149),Josh Allen,40925149,QB,7500,BUF@PIT 11/30/2025 04:25PM ET,BUF,25.04
WR,Drake London (40925451),Drake London,40925451,WR/FLEX,7300,ATL@NYJ 11/30/2025 01:00PM ET,ATL,21.44
WR,Justin Jefferson (40925453),Justin Jefferson,40925453,WR/FLEX,7100,MIN@SEA 11/30/2025 04:05PM ET,MIN,14.36
QB,Matthew Stafford (40925150),Matthew Stafford,40925150,QB,7000,LAR@CAR 11/30/2025 01:00PM ET,LAR,21.3
RB,Bucky Irving (40925229),Bucky Irving,40925229,RB/FLEX,7000,ARI@TB 11/30/2025 01:00PM ET,TB,19
RB,Rico Dowdle (40925231),Rico Dowdle,40925231,RB/FLEX,6900,LAR@CAR 11/30/2025 01:00PM ET,CAR,15.2
WR,Jaylen Waddle (40925455),Jaylen Waddle,40925455,WR/FLEX,6800,NO@MIA 11/30/2025 01:00PM ET,MIA,14.05
WR,Nico Collins (40925457),Nico Collins,40925457,WR/FLEX,6700,HOU@IND 11/30/2025 01:00PM ET,HOU,15.35
RB,Kyren Williams (40925233),Kyren Williams,40925233,RB/FLEX,6600,LAR@CAR 11/30/2025 01:00PM ET,LAR,16.09
WR,Emeka Egbuka (40925459),Emeka Egbuka,40925459,WR/FLEX,6500,ARI@TB 11/30/2025 01:00PM ET,TB,15.53
RB,Travis Etienne Jr. (40925235),Travis Etienne Jr.,40925235,RB/FLEX,6500,JAX@TEN 11/30/2025 01:00PM ET,JAX,15.41
QB,Justin Herbert (40925151),Justin Herbert,40925151,QB,6500,LV@LAC 11/30/2025 04:25PM ET,LAC,20.47
WR,Chris Olave (40925461),Chris Olave,40925461,WR/FLEX,6400,NO@MIA 11/30/2025 01:00PM ET,NO,15.28
RB,Ashton Jeanty (40925237),Ashton Jeanty,40925237,RB/FLEX,6400,LV@LAC 11/30/2025 04:25PM ET,LV,15.41
QB,Daniel Jones (40925152),Daniel Jones,40925152,QB,6300,HOU@IND 11/30/2025 01:00PM ET,IND,20.5
WR,Ladd McConkey (40925463),Ladd McConkey,40925463,WR/FLEX,6300,LV@LAC 11/30/2025 04:25PM ET,LAC,13.49
RB,Jaylen Warren (40925239),Jaylen Warren,40925239,RB/FLEX,6300,BUF@PIT 11/30/2025 04:25PM ET,PIT,13.43
RB,Quinshon Judkins (40925241),Quinshon Judkins,40925241,RB/FLEX,6200,SF@CLE 11/30/2025 01:00PM ET,CLE,13.27
WR,Brian Thomas Jr. (40925465),Brian Thomas Jr.,40925465,WR/FLEX,6200,JAX@TEN 11/30/2025 01:00PM ET,JAX,10.7
WR,Tetairoa McMillan (40925467),Tetairoa McMillan,40925467,WR/FLEX,6100,LAR@CAR 11/30/2025 01:00PM ET,CAR,14.19
QB,Brock Purdy (40925153),Brock Purdy,40925153,QB,6000,SF@CLE 11/30/2025 01:00PM ET,SF,18.02
RB,Breece Hall (40925243),Breece Hall,40925243,RB/FLEX,6000,ATL@NYJ 11/30/2025 01:00PM ET,NYJ,14.90
WR,Marvin Harrison Jr. (40925469),Marvin Harrison Jr.,40925469,WR/FLEX,6000,ARI@TB 11/30/2025 01:00PM ET,ARI,12.5
